,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
190,Cherry Electric Lemonade,17174,,Cocktail,Gin,,,,,,,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,
191,Cherry Rum,11239,Alcoholic,Ordinary Drink,Light rum,,,,,,,Cherry brandy,Light cream,,,,,,
192,Chicago Fizz,11242,Alcoholic,Ordinary Drink,Light rum,,,,,,,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,
193,Chocolate Beverage,12732,Non alcoholic,Cocoa,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,
194,Chocolate Black Russian,11243,Alcoholic,Ordinary Drink,Kahlua,,,,,,,Vodka,Chocolate ice-cream,,,,,,
195,Chocolate Drink,12734,Non alcoholic,Cocoa,Chocolate,,,,,,,Milk,Water,,,,,,
196,Chocolate Milk,13328,Alcoholic,Shot,Chocolate liqueur,,,,,,,Milk,Amaretto,,,,,,
197,Chocolate Monkey,15615,Optional alcohol,Milk / Float / Shake,Banana liqueur,,,,,,,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,
198,Citrus Coke,17135,Alcoholic,Soft Drink / Soda,Bacardi Limon,,,,,,,Coca-Cola,,,,,,,
199,City Slicker,11251,Alcoholic,Ordinary Drink,Brandy,,,,,,,Triple sec,Lemon juice,,,,,,
200,Classic Old-Fashioned,11145,Alcoholic,Ordinary Drink,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,
201,Clove Cocktail,11255,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Sloe gin,Wine,,,,,,
202,Clover Club,17186,Alcoholic,Ordinary Drink,Gin,,,,,,,Grenadine,Lemon,Egg white,,,,,
